STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
WYOMING,SANDY NEWSOME,STATE HOUSE,24,16603.629999999997
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,9569.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,1940.66
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,8578.79
WYOMING,OCEAN ANDREW,STATE HOUSE,46,8564.22
WYOMING,ED COOPER,STATE SENATE,20,24422.82
WYOMING,DAVE KINSKEY,STATE SENATE,22,21664.48
WYOMING,JOHN KOLB,STATE SENATE,12,15061.56
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,8881.940000000002
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,21101.65
WYOMING,ALBERT SOMMERS,STATE HOUSE,20,4713.620000000001
WYOMING,LARRY S. HICKS,STATE SENATE,11,2302.59
WYOMING,CLARK STITH,STATE HOUSE,48,1282.0
WYOMING,CHIP NEIMAN,STATE HOUSE,1,26415.67
WYOMING,TREY SHERWOOD,STATE HOUSE,14,17100.52
WYOMING,LLOYD CHARLES LARSEN,STATE HOUSE,54,15718.34
WYOMING,STEVE HARSHMAN,STATE HOUSE,37,772.91
WYOMING,OGDEN DRISKILL,STATE SENATE,1,17027.67
WYOMING,JAMES A. ROSCOE,STATE HOUSE,22,22929.109999999997
WYOMING,TIMOTHY P. HALLINAN,STATE HOUSE,32,0.0
WYOMING,STEPHAN A. PAPPAS,STATE SENATE,7,479.76
WYOMING,MIKE F. GIERAU,STATE SENATE,17,22432.24
WYOMING,MARSHALL A. BURT,STATE HOUSE,39,7307.43
WYOMING,SHELLY DUNCAN,STATE HOUSE,5,1902.0
WYOMING,MARK GORDON,GOVERNOR,,3138254.7600000002
WYOMING,SCOTT HEINER,STATE HOUSE,18,4083.36
WYOMING,CALE CASE,STATE SENATE,25,2548.06
WYOMING,JOE MACGUIRE,STATE HOUSE,35,0.0
WYOMING,MICHAEL D. GREEAR,STATE HOUSE,27,511.55
WYOMING,TOM WALTERS,STATE HOUSE,38,7187.16
WYOMING,DANNY EYRE,STATE HOUSE,19,14366.880000000001
WYOMING,DAN LAURSEN,STATE HOUSE,25,5315.969999999999
WYOMING,JERRY PAXTON,STATE HOUSE,47,18736.68
WYOMING,CYRUS WESTERN,STATE HOUSE,51,20835.26
WYOMING,JOHN B. ROMERO-MARTINEZ,STATE HOUSE,44,0.0
WYOMING,BO BITEMAN,STATE SENATE,21,14586.449999999999
WYOMING,KEVIN C. O'HEARN,STATE HOUSE,59,5418.04
WYOMING,CLARENCE L. STYVAR,STATE HOUSE,12,9147.18
