STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,19894.84
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0.0
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,41717.42999999999
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,39434.22
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,309.79
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,35660.98
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,49761.54
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,39013.22
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,37912.53
CONNECTICUT,IRENE HAINES,STATE HOUSE,34,36125.21
CONNECTICUT,DAVID MICHEL,STATE HOUSE,146,28807.870000000003
CONNECTICUT,CINDY HARRISON,STATE HOUSE,69,34563.55
CONNECTICUT,BRANDON L. MCGEE,STATE HOUSE,5,0.0
CONNECTICUT,HOLLY H. CHEESEMAN,STATE HOUSE,37,38534.89
CONNECTICUT,BRIAN LANOUE,STATE HOUSE,45,35826.270000000004
CONNECTICUT,ANTONIO D. FELIPE,STATE HOUSE,130,80020.82
CONNECTICUT,CATHERINE ANN OSTEN,STATE SENATE,19,120344.24
CONNECTICUT,MAE M. FLEXER,STATE SENATE,29,119835.71
CONNECTICUT,MINNIE GONZALEZ,STATE HOUSE,3,16037.04
CONNECTICUT,HILDA E. SANTIAGO,STATE HOUSE,84,31494.47
CONNECTICUT,MICHAEL C. D'AGOSTINO,STATE HOUSE,91,0.0
CONNECTICUT,JENNIFER LEEPER,STATE HOUSE,132,65997.44
CONNECTICUT,TERRIE E. WOOD,STATE HOUSE,141,13294.999999999998
CONNECTICUT,JANE M. GARIBAY,STATE HOUSE,60,32485.36
CONNECTICUT,MATT BLUMENTHAL,STATE HOUSE,147,35613.14
CONNECTICUT,LEZLYE ZUPKUS,STATE HOUSE,89,36774.060000000005
CONNECTICUT,DAVID YACCARINO,STATE HOUSE,87,0.0
CONNECTICUT,ROBYN A. PORTER,STATE HOUSE,94,16546.67
CONNECTICUT,COREY P. PARIS,STATE HOUSE,145,0.0
CONNECTICUT,MARTIN M. LOONEY,STATE SENATE,11,153977.63999999998
CONNECTICUT,CHRISTIE CARPINO,STATE HOUSE,32,17380.39
CONNECTICUT,MARY M. MUSHINSKY,STATE HOUSE,85,36304.04
CONNECTICUT,KURT VAIL,STATE HOUSE,52,23664.61
CONNECTICUT,ANDRE F. BAKER,STATE HOUSE,124,0.0
CONNECTICUT,DEVIN R. CARNEY,STATE HOUSE,23,38257.22
CONNECTICUT,MARILYN MOORE,STATE SENATE,22,0.0
CONNECTICUT,STEVE CASSANO,STATE SENATE,4,121742.82
CONNECTICUT,DANIEL A. CHAMPAGNE,STATE SENATE,35,132261.62
CONNECTICUT,MICHELLE L. COOK,STATE HOUSE,65,37861.04000000001
CONNECTICUT,MIKE DEMICCO,STATE HOUSE,21,0.0
CONNECTICUT,STEVEN STAFSTROM,STATE HOUSE,129,32080.230000000003
CONNECTICUT,CHRISTINE GOUPIL,STATE HOUSE,35,35090.0
CONNECTICUT,EMMETT D. RILEY,STATE HOUSE,46,35889.399999999994
CONNECTICUT,JOHN W. FONFARA,STATE SENATE,1,136113.59999999998
CONNECTICUT,TRAVIS SIMMS,STATE HOUSE,140,26192.17
CONNECTICUT,RAGHIB ALLIE-BRENNAN,STATE HOUSE,2,36356.13
CONNECTICUT,KATE FARRAR,STATE HOUSE,20,57948.82
CONNECTICUT,JOHN FUSCO,STATE HOUSE,81,3415.58
CONNECTICUT,DAVID J. RUTIGLIANO,STATE HOUSE,123,36801.83
CONNECTICUT,WILLIAM BUCKBEE,STATE HOUSE,67,39562.78
CONNECTICUT,DENNIS BRADLEY,STATE SENATE,23,0.0
CONNECTICUT,NED LAMONT,GOVERNOR,,15643032.86
CONNECTICUT,CHARLES J. FERRARO,STATE HOUSE,117,35321.78999999999
CONNECTICUT,MITCH BOLINSKY,STATE HOUSE,106,36727.79
CONNECTICUT,STEPHEN G. HARDING,STATE HOUSE,107,16618.149999999998
CONNECTICUT,NORMAN NEEDLEMAN,STATE SENATE,33,0.0
CONNECTICUT,ROBERT GODFREY,STATE HOUSE,110,37071.71
CONNECTICUT,WILL HASKELL,STATE SENATE,26,112803.94
CONNECTICUT,BRANDON CHAFEE,STATE HOUSE,33,36350.83
CONNECTICUT,MANNY SANCHEZ,STATE HOUSE,24,56500.60999999999
