NAME,CATEGORY
123 DECAL,CAMPAIGN SIGNS & PARAPHERNALIA
A|L (AL) MEDIA STRATEGY,MEDIA & ADS
A2Z PRINTING,PRINTING
AB HAYS INC,CAMPAIGN CONSULTING
ABBOT TAYLOR,ACCOUNTING & FINANCIAL MANAGEMENT
ACCOUNTANTS WORLD,ACCOUNTING & FINANCIAL MANAGEMENT
ACCUPAY,SALARY & PAYROLL
ACE HARDWARE,GENERAL OPERATIONS & SUPPLIES
ACTBLUE,CREDIT CARD PROCESSING FEES
ACTION NETWORK,EVENT EXPENSES
ADBAY.COM,"PR, COMMUNICATIONS, & MARKETING"
ADCRAFT PRINTING,PRINTING
ADOBE,SOFTWARE & TECHNOLOGY
ADVICTORY,MEDIA & ADS
AFSCME,POLITICAL FUNDS & GROUPS
AFT/COPE,POLITICAL FUNDS & GROUPS
AKPD MESSAGE AND MEDIA,MEDIA & ADS
AL MEDIA (ADELSTEIN LISTON),MEDIA & ADS
ALAMO,TRAVEL & LODGING
ALBERTSON'S,MEALS & CATERING
ALPHAGRAPHICS,PRINTING
AMAZON,OFFICE EXPENSES
AMBI MAIL AND MARKETING,DIRECT MAIL
AMERICAN AIRLINES,TRAVEL & LODGING
AMERICAN BEVERAGE ASSOCIATION,MEALS & CATERING
AMERICAN EXPRESS (AMEX),CREDIT CARD PROCESSING FEES
AMERICAN MEDIA & ADVOCACY GROUP,MEDIA & ADS
AMERICAN SAVINGS BANK,CREDIT CARD PAYMENT & BANK FEES
AMERICOPY,PRINTING
AMPLIFIED STRATEGIES,DIRECT MAIL
ANDERSON ADVERTISING,MEDIA & ADS
ANEDOT,CREDIT CARD PROCESSING FEES
ANNE LEWIS STRATEGIES,CAMPAIGN CONSULTING
ANTHEM MEDIA,MEDIA & ADS
APEX,CREDIT CARD PROCESSING FEES
APPLE,SOFTWARE & TECHNOLOGY
ARCO,FUEL & GAS
ARENA,MEDIA & ADS
ARGO STRATEGIES,CAMPAIGN CONSULTING
ARISTOTLE,SOFTWARE & TECHNOLOGY
ARSEMENT MEDIA GROUP,MEDIA & ADS
ARTCRAFT PRINTERS,PRINTING
ASSOCIATED BANK,CREDIT CARD PAYMENT & BANK FEES
AT&T,UTILITIES
AUTHENTIC CAMPAIGNS,DIGITAL & SOCIAL MEDIA CONSULTING
AUTOMATIC DATA PROCESSING (ADP),CREDIT CARD PROCESSING FEES
AUTOSORT,DIRECT MAIL
AVIS,TRAVEL & LODGING
AWARENESS ANALYTICS PARTNERS,DATA & DATABASE SERVICES
AXMEDIA,MEDIA & ADS
BALANCE TRANSFER TO NEXT ELECTION,BALANCE TRANSFER
BANK OF AMERICA,CREDIT CARD PAYMENT & BANK FEES
BANKCARD SERVICES,CREDIT CARD PAYMENT & BANK FEES
BB&T BANK/TRUIST,CREDIT CARD PAYMENT & BANK FEES
BERGMANN ZWERDLING DIRECT,DIRECT MAIL
BERLIN ROSEN,"PR, COMMUNICATIONS, & MARKETING"
BEST BUY,SOFTWARE & TECHNOLOGY
BIG DOG STRATEGIES,CAMPAIGN CONSULTING
BJ'S WHOLESALE,GENERAL OPERATIONS & SUPPLIES
BLACK PAC,POLITICAL FUNDS & GROUPS
BLAKEMORE & ASSOCIATES,CAMPAIGN CONSULTING
BLUE EARTH MARKETING,"PR, COMMUNICATIONS, & MARKETING"
BLUE EDGE STRATEGIES,CAMPAIGN CONSULTING
BLUE WEST MEDIA,MEDIA & ADS
BOSTON GLOBE,GENERAL OPERATIONS & SUPPLIES
BOUCHARD GOLD COMMUNICATIONS,DIRECT MAIL
BOULDER STRATEGIES,CAMPAIGN CONSULTING
BRABENDERCOX,MEDIA & ADS
BRETT W. HUBER SR (STRATEGIC SYNERGY),SALARY & PAYROLL
BRIDGE COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
BRINKSTER,SOFTWARE & TECHNOLOGY
BUDGET,TRAVEL & LODGING
BUILDASIGN.COM,CAMPAIGN SIGNS & PARAPHERNALIA
BURGER KING,MEALS & CATERING
BUYING TIME,MEDIA & ADS
C&A CONSULTING,ACCOUNTING & FINANCIAL MANAGEMENT 
C&D PRINTING,PRINTING
C&E SYSTEMS,ACCOUNTING & FINANCIAL MANAGEMENT 
CAMPAIGN DEPUTY,DATA & DATABASE SERVICES
CAMPAIGN FINANCE,ACCOUNTING & FINANCIAL MANAGEMENT 
CANAL PARTNERS MEDIA,MEDIA & ADS
CANVA,PRINTING
CAPITAL ONE,CREDIT CARD PROCESSING FEES
CCC ENTERPRISES,GENERAL OPERATIONS & SUPPLIES
CCM & CO,DIGITAL & SOCIAL MEDIA CONSULTING
CENTRAL BANK,CREDIT CARD PAYMENT & BANK FEES
CERILLION N4 PARTNERS,CAMPAIGN CONSULTING
CHANGE MEDIA GROUP,MEDIA & ADS
CHASE,CREDIT CARD PROCESSING FEES
CHASE MARKETING,"PR, COMMUNICATIONS, & MARKETING"
CHEVRON,FUEL & GAS
CIRCLE K,FUEL & GAS
CITGO,FUEL & GAS
CITIZENS BANK,CREDIT CARD PAYMENT & BANK FEES
CLEAR CHANNEL OUTDOOR,EVENT EXPENSES
COMCAST,UTILITIES
COMERICA BANK,CREDIT CARD PAYMENT & BANK FEES
COMMONWEALTH EDISON CO (COMED),UTILITIES
COMPASS BANK,CREDIT CARD PAYMENT & BANK FEES
COMPREHENSIVE STRATEGIC SOLUTIONS,CAMPAIGN CONSULTING
CONNECT STRATEGIC COMMUNICATIONS,DIGITAL & SOCIAL MEDIA CONSULTING
CONNECTWORKS GROUP,"PR, COMMUNICATIONS, & MARKETING"
CONNOLLY PRINTING,PRINTING
CONSTANT CONTACT,SOFTWARE & TECHNOLOGY
COSTCO,GENERAL OPERATIONS & SUPPLIES
COX COMMUNICATIONS,UTILITIES
COX MEDIA,MEDIA & ADS
CRACKER BARREL,MEALS & CATERING
CREATIVE POLITICAL MEDIA,MEDIA & ADS
CROSS SCREEN MEDIA,MEDIA & ADS
CROSSROADS MEDIA,MEDIA & ADS
CROSSVILLE CHRONICLE,MEDIA & ADS
CUSTOMINK,CAMPAIGN SIGNS & PARAPHERNALIA
D/CO,CAMPAIGN CONSULTING
DAVID & ASSOCIATES,ACCOUNTING & FINANCIAL MANAGEMENT 
DAY CAMPAIGN,CREDIT CARD PROCESSING FEES
DEANE & COMPANY,ACCOUNTING & FINANCIAL MANAGEMENT 
DELIVER STRATEGIES,CAMPAIGN CONSULTING
DELL,SOFTWARE & TECHNOLOGY
DELTA AIRLINES,TRAVEL & LODGING
EDWARD JONES,ACCOUNTING & FINANCIAL MANAGEMENT
DEMOCRACY ENGINE,CREDIT CARD PROCESSING FEES
BANK OZK,CREDIT CARD PAYMENT & BANK FEES
DEMOCRATIC MAJORITY,POLITICAL FUNDS & GROUPS
DESIGNATED MARKET MEDIA,MEDIA & ADS
DEWEY SQUARE GROUP,CAMPAIGN CONSULTING
DIRECT EDGE CAMPAIGNS,DIRECT MAIL
DIRECT MAIL SYSTEMS,DIRECT MAIL
DITTMAN,POLLING & RESEARCH
DIXON DAVIS MEDIA GROUP,MEDIA & ADS
DMM ENTERPRISES,MEALS & CATERING
DMM MEDIA,MEDIA & ADS
DNA CAMPAIGNS,DIRECT MAIL
DO BIG THINGS,DIGITAL & SOCIAL MEDIA CONSULTING
DOLLAR TREE,GENERAL OPERATIONS & SUPPLIES
DOMINO'S,MEALS & CATERING
DONORBOX,CREDIT CARD PROCESSING FEES
DREAMBASE/CALLTIME,CREDIT CARD PROCESSING FEES
DUNKIN DONUTS,MEALS & CATERING 
E FUNDRAISING CONNECTIONS,CREDIT CARD PROCESSING FEES
EBAY,OFFICE EXPENSES
ECCA PAYROLL,SALARY & PAYROLL
EDGE COMMUNICATIONS,SOFTWARE & TECHNOLOGY 
EL TORO,MEALS & CATERING
ELECTION HIVE,CAMPAIGN CONSULTING
ELEVATED CAMPAIGNS,MEDIA & ADS
ENERGY SOLUTIONS,GENERAL OPERATIONS & SUPPLIES
ENTERGY,UTILITIES
ENTERPRISE,TRAVEL & LODGING
ESP PRINTING AND MAILING,DIRECT MAIL
EVENTBRITE,EVENT EXPENSES
EXPEDIA,TRAVEL & LODGING
EXXON MOBIL,FUEL & GAS
FACEBOOK,DIGITAL ADVERTISING
FAMILY DOLLAR,GENERAL OPERATIONS & SUPPLIES
FEDERAL EXPRESS (FEDEX),SHIPPING & POSTAGE
FERGUSON & ASSOCIATES,LEGAL SERVICES
FIELDWORKS,CANVASSING & FIELD WORK
FIFTH THIRD BANK,CREDIT CARD PAYMENT & BANK FEES
FIGHTING FOR OUR FUTURE,POLITICAL FUNDS & GROUPS
FIRST BANK,CREDIT CARD PAYMENT & BANK FEES
FIRST COMMUNITY BANK,CREDIT CARD PAYMENT & BANK FEES
FIRST DATA,DATA & DATABASE SERVICES
FLEXPOINT MEDIA,MEDIA & ADS
FLUID ADVERTISING,MEDIA & ADS
FOGLAMP CONTENT STUDIO,DIGITAL & SOCIAL MEDIA CONSULTING
FORTUNE MEDIA,MEDIA & ADS
FOUNDATION BLUE MEDIA,MEDIA & ADS
FP1 STRATEGIES,CAMPAIGN CONSULTING
FRAME MEDIA,MEDIA & ADS
FRONT LINE STRATEGIES,CAMPAIGN CONSULTING
FRONTIER STRATEGIES,MEDIA & ADS
FUND HERO,CREDIT CARD PROCESSING FEES
GARRAND,MEDIA & ADS
GBI STRATEGIES,CAMPAIGN CONSULTING
GETGO,GENERAL OPERATIONS & SUPPLIES
GMMB,CAMPAIGN CONSULTING
GO DADDY,WEBSITE SERVICES
GODDARD GUNSTER,LOBBYING
GOOGLE,DIGITAL ADVERTISING
GORDON AND SCHWENKMEYER,"PR, COMMUNICATIONS, & MARKETING"
GPS IMPACT,MEDIA & ADS
GRAPHICS ETC,PRINTING
GRASSROOTS ANALYTICS,DATA & DATABASE SERVICES
GRASSROOTS PARTNERS,CAMPAIGN CONSULTING
GREAT AMERICAN MEDIA,MEDIA & ADS
GREENBERG QUINLAN ROSNER RESEARCH,POLLING & RESEARCH
GREYSTONE PUBLIC AFFAIRS,CAMPAIGN CONSULTING
GRIT CREATIVE,"PR, COMMUNICATIONS, & MARKETING"
GROWTH AND OPPORTUNITY PAC,POLITICAL FUNDS & GROUPS
GUMBINNER & DAVIES,DIRECT MAIL
GUMBO PAC,POLITICAL FUNDS & GROUPS
GUSTO,SALARY & PAYROLL
H-E-B,GENERAL OPERATIONS & SUPPLIES
HACKNEY & HACKNEY,CAMPAIGN CONSULTING
HAMILTON CAMPAIGN NETWORK,CAMPAIGN CONSULTING
HAMPTON INN,TRAVEL & LODGING
HANNAFORD,MEALS & CATERING
HART RESEARCH ASSOCIATES,POLLING & RESEARCH
HARTMOOR INVESTMENTS,ACCOUNTING & FINANCIAL MANAGEMENT
HAYS RESEARCH GROUP,POLLING & RESEARCH
HERTZ,TRAVEL & LODGING
HILTON HOTELS,TRAVEL & LODGING
HOBBY LOBBY,OFFICE EXPENSES
HOLIDAY INN,TRAVEL & LODGING
HOME DEPOT,GENERAL OPERATIONS & SUPPLIES
HUNTINGTON NATIONAL BANK,CREDIT CARD PAYMENT & BANK FEES
IHEARTMEDIA,MEDIA & ADS
IMGE,DIGITAL & SOCIAL MEDIA CONSULTING
IMPACT MEDIA GROUP,MEDIA & ADS
IMPACT POLITICS,DIGITAL & SOCIAL MEDIA CONSULTING
INNOVATIVE ADVERTISING,"PR, COMMUNICATIONS, & MARKETING"
INTERNAL REVENUE SERVICE (IRS),TAXES
IS POLITICAL INC,CAMPAIGN CONSULTING
J-AD GRAPHICS,PRINTING
JAMESTOWN ASSOCIATES,MEDIA & ADS
JETBLUE,TRAVEL & LODGING
JMA STRATEGIES,CAMPAIGN CONSULTING
JOE SLADE WHITE COMMUNICATIONS,CAMPAIGN CONSULTING
JRU CONSULTING,CAMPAIGN CONSULTING
KAEGI RESOURCES,FUNDRAISING & FUNDRAISING CONSULTING
KING SOOPERS,GENERAL OPERATIONS & SUPPLIES
KIVVIT,"PR, COMMUNICATIONS, & MARKETING"
KNOW HOW STRATEGIES,MEDIA & ADS
KROGER,GENERAL OPERATIONS & SUPPLIES
KWIK TRIP,GENERAL OPERATIONS & SUPPLIES
L2 INC,DATA & DATABASE SERVICES
LANDMARK COMMUNICATIONS,MEDIA & ADS
LANDSLIDE STRATEGIC MEDIA,MEDIA & ADS
LEFT HOOK,CAMPAIGN CONSULTING
LIBERTY BANK,CREDIT CARD PAYMENT & BANK FEES
LITTLEFIELD CONSULTING,CAMPAIGN CONSULTING
LOAF N JUG,MEALS & CATERING
LOVE COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
LOWES,GENERAL OPERATIONS & SUPPLIES
LUC MEDIA,MEDIA & ADS
LYFT,TRAVEL & LODGING
M&T BANK,CREDIT CARD PAYMENT & BANK FEES
MAILCHIMP,SOFTWARE & TECHNOLOGY
MAJORITY STRATEGIES,"PR, COMMUNICATIONS, & MARKETING"
MARK IT RED,CAMPAIGN CONSULTING
MARKETING RESOURCE GROUP,"PR, COMMUNICATIONS, & MARKETING"
MARRIOTT HOTELS,TRAVEL & LODGING
MASTER IMAGE,PRINTING
MATRIX LLC,CAMPAIGN CONSULTING
MAVERIK,CAMPAIGN SIGNS & PARAPHERNALIA
