STATE,NAME,ASSOCIATED QUERY,OFFICE,DISTRICT,ELECTION YEAR
AL,WILLIAMS AINSWORTH,WILLIAM J AINSWORTH,LIEUTENANT GOVERNOR,,2018.0
AL,GREG ALBRITTON,GREGORY LAMAR ALBRITTON,STATE SENATE,22,2018.0
AL,LOUISE ALEXANDER,LOUISE UNITA ALEXANDER,STATE HOUSE,56,2018.0
AL,GERALD ALLEN,GERALD ALLEN,STATE SENATE,21,2018.0
AL,WES ALLEN,WESLEY HARRISON ALLEN,STATE HOUSE,89,2018.0
AL,ALAN BAKER,ALAN WAYNE BAKER,STATE HOUSE,66,2018.0
AL,MICHAEL A. BALL,MIKE BALL,STATE HOUSE,10,2018.0
AL,WILL BARFOOT,CHARLES WILLIAMSON BARFOOT,STATE SENATE,25,2018.0
AL,WILLIAM M. BEASLEY,WILLIAM M BILLY BEASLEY,STATE SENATE,28,2018.0
AL,RUSSELL BEDSOLE,RUSSELL ELLISON BEDSOLE,STATE HOUSE,49,2020.0
AL,CHRIS E. BLACKSHEAR,CHRISTOPHER EARL BLACKSHEAR,STATE HOUSE,80,2018.0
AL,BARBARA BIGSBY BOYD,BARBARA BIGSBY BOYD,STATE HOUSE,32,2018.0
AL,NAPOLEON BRACY,NAPOLEON BRACY JR.,STATE HOUSE,98,2018.0
AL,CHIP BROWN,CHIP BROWN,STATE HOUSE,105,2018.0
AL,KOVEN L. BROWN,KOVEN L. BROWN,STATE HOUSE,40,2018.0
AL,TOM BUTLER,TOM BUTLER,STATE SENATE,2,2018.0
AL,JIM CARNS,JIM CARNS,STATE HOUSE,48,2018.0
AL,CLYDE CHAMBLISS,CLYDE CHAMBLISS JR.,STATE SENATE,30,2018.0
AL,DONNIE CHESTEEN,DONNIE CHESTEEN,STATE SENATE,29,2018.0
AL,PRINCE CHESTNUT,PRINCE DARIUS CHESTNUT,STATE HOUSE,67,2018.0
AL,ADLINE CECELIA CLARKE,ADLINE CECELIA CLARKE,STATE HOUSE,97,2018.0
AL,STEVE CLOUSE,STEVE CLOUSE,STATE HOUSE,93,2018.0
AL,MERIKA COLEMAN-EVANS,MERIKA COLEMAN,STATE HOUSE,57,2018.0
AL,LINDA COLEMAN-MADISON,LINDA COLEMAN,STATE SENATE,20,2018.0
AL,TERRI COLLINS,TERRI COLLINS,STATE HOUSE,8,2018.0
AL,DANNY F. CRAWFORD,DANNY FERRELL CRAWFORD,STATE HOUSE,5,2018.0
AL,ANTHONY DANIELS,ANTHONY DANIELS JR.,STATE HOUSE,53,2018.0
AL,WILL DISMUKES,WILLIAM NICOLES DISMUKES III,STATE HOUSE,88,2018.0
AL,E. RICHARD DRAKE,DICKIE DRAKE,STATE HOUSE,45,2018.0
AL,BARBARA DRUMMOND,BARBARA DRUMMOND,STATE HOUSE,103,2018.0
AL,PRISCILLA DUNN,PRISCILLA P DUNN,STATE SENATE,19,2018.0
AL,BRETT EASTERBROOK,BRETT TURNER EASTERBROOK SR.,STATE HOUSE,65,2018.0
AL,CHRIS ELLIOTT,CHRIS ELLIOTT,STATE SENATE,32,2018.0
AL,CORLEY ELLIS,CORLEY ELLIS,STATE HOUSE,41,2018.0
AL,CHRISTOPHER JOHN ENGLAND,CHRISTOPHER JOHN ENGLAND,STATE HOUSE,70,2018.0
AL,TRACY ESTES,JOHN TRACY ESTES,STATE HOUSE,17,2018.0
AL,ALLEN FARLEY,ALLEN FARLEY,STATE HOUSE,15,2018.0
AL,DAVID FAULKNER,DAVID LAWRENCE FAULKNER JR.,STATE HOUSE,46,2018.0
AL,JOE FAUST,TEDDY JOE FAUST SR.,STATE HOUSE,94,2018.0
AL,VIVIAN DAVIS FIGURES,VIVIAN DAVIS FIGURES,STATE SENATE,33,2018.0
AL,BOB FINCHER,ROBERT HERMAN FINCHER,STATE HOUSE,37,2018.0
AL,BERRY FORTE,BERRY FORTE,STATE HOUSE,84,2018.0
AL,MATT FRIDY,MATTHEW FRIDY,STATE HOUSE,73,2018.0
AL,J. DANIEL GARRETT,JOHN DANIEL GARRETT,STATE HOUSE,44,2018.0
AL,VICTOR GASTON,VICTOR GASTON,STATE HOUSE,100,2018.0
AL,JUANDALYNN DELEATHIA GIVAN,JUANDALYNN D GIVAN,STATE HOUSE,60,2018.0
AL,SAM GIVHAN,SAM GIVHAN,STATE SENATE,7,2018.0
AL,JEREMY GRAY,JEREMY ASKEW GRAY,STATE HOUSE,83,2018.0
AL,LYNN GREER,BAYLESS LYNN GREER,STATE HOUSE,2,2018.0
AL,DEXTER GRIMSLEY,WILLIAM DEXTER GRIMSLEY,STATE HOUSE,85,2018.0
AL,GARLAN GUDGER,GARLAN EDWARD GUDGER JR.,STATE SENATE,4,2018.0
AL,LAURA HALL,LAURA V HALL,STATE HOUSE,19,2018.0
AL,JAMES T. HANES,JAMES THOMAS HANES JR.,STATE HOUSE,23,2018.0
AL,COREY HARBISON,COREY P HARBISON,STATE HOUSE,12,2018.0
AL,KIRK HATCHER,NOT FOUND,STATE SENATE,26,2018.0
AL,JIM HILL,JIM HILL,STATE HOUSE,50,2018.0
AL,JIMMY W. HOLLEY,JIMMY W. HOLLEY,STATE SENATE,31,2018.0
AL,ROLANDA HOLLIS,ROLANDA MACHELLE HOLLIS,STATE HOUSE,58,2018.0
AL,MIKE HOLMES,MIKE HOLMES,STATE HOUSE,31,2018.0
AL,RALPH A. HOWARD,RALPH ANTHONY HOWARD,STATE HOUSE,72,2018.0
AL,STEVE HURST,STEPHEN (STEVE) WILCOX HURST,STATE HOUSE,35,2018.0
AL,REED INGRAM,ROBERT REED INGRAM,STATE HOUSE,75,2018.0
AL,GIL F. ISBELL,GIL FRANK ISBELL,STATE HOUSE,28,2018.0
AL,KAY E. IVEY,KAY E. IVEY,GOVERNOR,,2018.0
AL,THOMAS E. JACKSON,THOMAS E ACTION JACKSON,STATE HOUSE,68,2018.0
AL,MIKE JONES,MICHAEL L JONES JR.,STATE HOUSE,92,2018.0
AL,SAM JONES,SAMUEL L JONES,STATE HOUSE,99,2018.0
AL,ANDREW JONES,ANDREW JONES,STATE SENATE,10,2018.0
AL,JAMIE KIEL,JAMIE GLENN KIEL,STATE HOUSE,18,2018.0
AL,WES KITCHENS,JAMES WILEY KITCHENS,STATE HOUSE,27,2018.0
AL,KELVIN JAMICHAEL LAWRENCE,KELVIN J LAWRENCE,STATE HOUSE,69,2018.0
AL,NATHANIEL LEDBETTER,NATHANIEL DAVID LEDBETTER,STATE HOUSE,24,2018.0
AL,PAUL W. LEE,PAUL WESLEY LEE,STATE HOUSE,86,2018.0
AL,B. CRAIG LIPSCOMB,BRANDON CRAIG LIPSCOMB,STATE HOUSE,30,2018.0
AL,STEVE LIVINGSTON,STEVE LIVINGSTON,STATE SENATE,8,2018.0
AL,JOE FLOY LOVVORN,JOSEPH FLOY LOVVORN,STATE HOUSE,79,2018.0
AL,RHETT MARQUES,RHETT WILLIAM MARQUES,STATE HOUSE,91,2018.0
AL,DEL MARSH,DEL MARSH,STATE SENATE,12,2018.0
AL,ARTIS J. MCCAMPBELL,ARTIS J MCCAMPBELL,STATE HOUSE,71,2018.0
AL,THAD MCCLAMMY,THAD MCCLAMMY,STATE HOUSE,76,2018.0
AL,JIM MCCLENDON,JIM H MCCLENDON,STATE SENATE,11,2018.0
AL,C. MAC MCCUTCHEON,MAC MCCUTCHEON,STATE HOUSE,25,2018.0
AL,STEPHEN A. MCMILLAN,STEPHEN A. MCMILLAN,STATE HOUSE,95,2018.0
