STATE,NAME,CATEGORY
ALABAMA,ALABAMA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
ALABAMA,ALABAMA EDUCATION ASSOCIATION,POLITICAL FUNDS & GROUPS
ALABAMA,ALABAMA REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
ALABAMA,ALASKA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
ALABAMA,ABC SIGNS,PRINTING
ALABAMA,ALABAMA REPUBLICAN EXECUTIVE COMMITTEE,POLITICAL FUNDS & GROUPS
ALABAMA,GERALD ALLEN,POLITICAL FUNDS & GROUPS
ALASKA,ALASKA MEDIA STRATEGIES,MEDIA & ADS
ALASKA,ALASKA OIL & GAS ASSOCIATION,POLITICAL FUNDS & GROUPS
ALASKA,ALASKA REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
ALASKA,BRIGHT STRATEGY & COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
ALASKA,COLOR ART PRINTING,PRINTING
ALASKA,CONOCOPHILLIPS ALASKA,UTILITIES
ALASKA,FIRST NATIONAL BANK ALASKA,CREDIT CARD PAYMENT & BANK FEES
ALASKA,BRIGHT STRATEGY & COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
ALASKA,PORCARO COMMUNICATIONS,MEDIA & ADS
ARIZONA,ARIZONA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
ARIZONA,ADOBE BASIN PRINTING,PRINTING
ARIZONA,ANDERSON ADVERTISING,MEDIA & ADS
ARIZONA,INTREPID PUBLIC AFFAIRS,CAMPAIGN CONSULTING
ARIZONA,DUCEY VICTORY FUND COMMITTEE,POLITICAL FUNDS & GROUPS
CALIFORNIA,CALIFORNIA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
CALIFORNIA,CALIFORNIA REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
CALIFORNIA,CALIFORNIANS FOR PUBLIC SAFETY AND REHABILITATION,POLITICAL FUNDS & GROUPS
CALIFORNIA,PIP PRINTING,PRINTING
CALIFORNIA,COMMITTEE FOR CALIFORNIA,POLITICAL FUNDS & GROUPS
CALIFORNIA,FLOWERS BY JULIE,GENERAL OPERATIONS & SUPPLIES
CALIFORNIA,NO ON PROP 53,POLITICAL FUNDS & GROUPS
CALIFORNIA,RIVER CITY BUSINESS SERVICES,ACCOUNTING & FINANCIAL MANAGEMENT
