index,STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT,PAYEE 1,PAYEE AMOUNT 1,PAYEE 2,PAYEE AMOUNT 2,PAYEE 3,PAYEE AMOUNT 3,PAYEE 4,PAYEE AMOUNT 4,PAYEE 5,PAYEE AMOUNT 5,PAYEE 6,PAYEE AMOUNT 6,PAYEE 7,PAYEE AMOUNT 7,PAYEE 8,PAYEE AMOUNT 8,PAYEE 9,PAYEE AMOUNT 9,PAYEE 10,PAYEE AMOUNT 10,CATEGORY 1,CATEGORY AMOUNT 1,CATEGORY 2,CATEGORY AMOUNT 2,CATEGORY 3,CATEGORY AMOUNT 3,CATEGORY 4,CATEGORY AMOUNT 4,CATEGORY 5,CATEGORY AMOUNT 5,CATEGORY 6,CATEGORY AMOUNT 6,CATEGORY 7,CATEGORY AMOUNT 7,CATEGORY 8,CATEGORY AMOUNT 8,CATEGORY 9,CATEGORY AMOUNT 9,CATEGORY 10,CATEGORY AMOUNT 10
0,AL,Richard C. Shelby,U.S. Senate,Sr,8162679.15,Smart Media Group,4016779.67,Red State Strategies,597999.18,Strategic Perception,568939.7400000001,Cavalry,477605.0,FLS Connect,466232.4,Go Big Media,459945.1,Alabama Press Association,223032.53,Ross Sahr Swatek Azbell Howe,167150.0,Internal Revenue Service (IRS) (Payroll Tax),107964.0,Gula Graham Group,74923.85,Media & Ads,6064601.369999999,Campaign Consulting,869773.47,Fundraising & Fundraising Consulting,563456.25,Polling & Research,111700.0,Payroll Tax,107964.0,Travel & Lodging,91959.0,Meals & Catering,79057.79000000001,Campaign Signs & Paraphernalia,73086.72,General Operations & Supplies,37863.85,Legal Services,36000.0
1,AL,Tommy Tuberville,U.S. Senate,Jr,7593838.999999999,AX Media,4069177.15,The Prosper Group,492969.82,FP1 Strategies,330492.09,Garner Consulting Services,253521.81,Axiom Strategies,204210.05,The Churchill Group,193766.79,Moore Information Group,160300.0,Anedot,124445.24,Bmo Consulting,113286.46,Pash Communications,103022.49,Media & Ads,4349814.34,Fundraising & Fundraising Consulting,554589.31,Digital & Social Media Consulting,492969.82,Campaign Consulting,378023.79,Polling & Research,247803.78,Credit Card Processing Fees,238325.45,Travel & Lodging,193840.52,Credit Card Payment & Bank Fees,190812.06,"PR, Communications, & Marketing",180731.07,Meals & Catering,175428.94999999995
2,AK,Lisa A. Murkowski,U.S. Senate,Sr,5437404.37,PS Strategies,1660359.9400000002,Targeted Victory,534280.9899999999,Service Business Printing,280248.91,Bank of America,220968.86,United States Postal Service/Postmaster (USPS),215336.85,Moore Information Group,210500.0,Northrim Cardmember Service,206112.47999999995,Brilliant Media Strategies,189644.87,Black Rock Group,176253.03999999998,Pearson & Associates,136130.41999999998,Media & Ads,1788531.74,Credit Card Processing Fees,557461.63,Credit Card Payment & Bank Fees,500858.11,Campaign Consulting,422909.37,Travel & Lodging,295381.14,Fundraising & Fundraising Consulting,245968.52,Shipping & Postage,235730.21,Printing,225382.77,Polling & Research,210500.0,Salary & Payroll,186123.83
3,AK,Daniel S. Sullivan,U.S. Senate,Jr,127158582.88000004,Targeted Victory,35772315.21,Win Red,6075267.550000001,Insperity,5664336.0,Image Direct,5194402.35,Stella Management,4643971.01,Southwest Publishing & Mailing,3993404.81,Tatango,3841674.0,FLS Connect,2770872.9400000004,American Express (Amex),2589729.21,Adco Printing And Graphics,2168487.76,Credit Card Processing Fees,42597040.95000001,Direct Mail,8669164.27,Fundraising & Fundraising Consulting,7959899.83,Salary & Payroll,7851633.77,Travel & Lodging,7595916.82,"PR, Communications, & Marketing",7436116.729999999,Polling & Research,7237657.02,Accounting & Financial Management,5998440.779999999,Salary & Payroll Processing Fees,5664336.0,Shipping & Postage,5164304.83
4,AZ,Mark Kelly,U.S. Senate,Jr,92160455.98,Left Hook,69533648.8,Aisle 518 Strategies,9415492.06,Run The World,3072542.57,ActBlue,2592527.96,Intuit,1997629.71,Amplify.ai,702983.44,Winning Connections,461581.25,Greenberg Quinlan Rosner Research,385034.28,The Money Wheel,247606.61,American Express (Amex),233719.07,Media & Ads,69680653.6,Digital Advertising,12495421.81,Credit Card Processing Fees,2767306.35,Software & Technology,2037353.94,Salary & Payroll,1408878.8,General Operations & Supplies,945354.39,"PR, Communications, & Marketing",488373.2799999999,Printing,424950.34,Polling & Research,385034.28,Legal Services,331499.05
5,AZ,Kyrsten Sinema,U.S. Senate,Sr,25119745.27,Screen Strategies Media,13581175.0,Blue West Media,2504633.0,Rising Tide Interactive,1810353.43,Automatic Data Processing (ADP) (Payroll),1396705.9,New Blue Interactive,807247.0,Avis,613514.0,ActBlue,429152.22,Anzalone Liszt Grove Research,371319.02,Internal Revenue Service (IRS) (Payroll Tax),357670.43,Burdick Consulting Group,349257.91000000003,Media & Ads,16177804.37,Digital Advertising,2626878.47,Salary & Payroll,2030967.91,Payroll Tax,758130.6599999999,Travel & Lodging,747741.1,Fundraising & Fundraising Consulting,619643.28,Credit Card Processing Fees,512983.65,Polling & Research,371319.02,Credit Card Payment & Bank Fees,173501.80999999997,Legal Services,154828.9
6,AR,John N. Boozman,U.S. Senate,Sr,3606297.59,Strategic Media Placement,1881436.6,Rizzo Dukes Group,295906.76,The Tarrance Group,143328.0,Strategy Group For Media,142650.0,Axiom Strategies,141176.0,Lcm Strategies,134769.0,Bankcard Center,120590.43,Automatic Data Processing (ADP) (Payroll Tax),102876.25,Christopher Caldwell,67596.67000000001,Koch & Hoos,42631.76,Media & Ads,2088881.17,Fundraising & Fundraising Consulting,299999.54,Salary & Payroll,214711.13,Polling & Research,143328.0,Campaign Consulting,142036.49,Credit Card Processing Fees,121897.14,Payroll Tax,110846.84,"PR, Communications, & Marketing",75909.11,Meals & Catering,57526.18,Travel & Lodging,47871.29
7,AR,Tom Cotton,U.S. Senate,Jr,4454369.14,FP1 Strategies,1200124.62,Unisource Direct,631717.19,Targeted Victory,506954.47,American Express (Amex),306249.43000000005,Win Red,140287.38999999998,CMDI,128138.11,Koch & Hoos,96019.45,The Morning Group,92692.85,Rizzo Dukes Group,73597.0,Connell Donatelli,68000.0,Media & Ads,1223004.68,Direct Mail,724471.9400000001,Credit Card Processing Fees,658408.7899999999,Credit Card Payment & Bank Fees,319814.68999999994,Fundraising & Fundraising Consulting,242931.65,Campaign Consulting,229748.28,Data & Database Services,128138.11,Accounting & Financial Management,97669.45,Travel & Lodging,96850.73,Digital & Social Media Consulting,93698.4
8,CA,Dianne Feinstein,U.S. Senate,Sr,13991478.6,Carrick Consulting,10000000.0,Gordon & Schwenkmeyer,635009.36,Jstreetpac,442147.75,Jeffrey Millman,211273.93,Maravich Associates,200504.96,Fulkerson Kennedy & Company,175051.89,Blum Capital Partners LP,157343.32,US Bank,149050.38,New Blue Interactive,146917.5,Hart Research Associates,137624.36,Travel & Lodging,10300521.09,Fundraising & Fundraising Consulting,1107958.86,Credit Card Processing Fees,543892.5799999998,Campaign Consulting,266679.0,Credit Card Payment & Bank Fees,194842.47000000003,Salary & Payroll,178655.40999999997,Legal Services,155962.58000000002,Meals & Catering,150680.55,Digital Advertising,148542.24,Polling & Research,137624.36
9,CO,Michael Farrand Bennet,U.S. Senate,Sr,18407756.54,Shorr Johnson Magnus,11011560.659999996,Automated Data Processing,1275600.98,Magnus Pearson Media,809766.5700000001,AB Data,518125.63,Bully Pulpit Interactive,491599.26,Harstad Strategic Research,478916.0,American Express (Amex),230261.12,Anne Lewis Strategies,229451.65,Capitol Compliance Associates,185638.6,ActBlue,123498.5,Media & Ads,11915021.15,Salary & Payroll,1765133.0699999998,Data & Database Services,518125.63,Digital Advertising,491683.26,Payroll Tax,488326.06,Polling & Research,487635.91,Campaign Consulting,306752.68,Credit Card Payment & Bank Fees,258749.72,Fundraising & Fundraising Consulting,250815.21,Digital & Social Media Consulting,229451.65
10,CO,John Wright Hickenlooper,U.S. Senate,Jr,39702421.85,Canal Partners Media,18073532.02,Precision Strategies,6168420.92,Authentic Campaigns,4437620.0,Gusto (Payroll),2792778.4,ActBlue,1212352.62,Wilke Communications,791210.0,Grunwald Communications,778386.8099999999,Landslide Political,422559.0,American Express (Amex),307232.14,Perkins Coie,304397.41,Media & Ads,18970585.42,Digital Advertising,6189164.699999999,Compliance Services,4620623.46,Salary & Payroll,3849636.4,Credit Card Processing Fees,1291370.85,Campaign Consulting,1063169.4500000002,Payroll Tax,858815.98,Direct Mail,792904.36,Credit Card Payment & Bank Fees,315676.76,Legal Services,315566.74
11,CT,Richard Blumenthal,U.S. Senate,Sr,4357621.71,Old Towne Media,2140013.0,Payusa,317897.2700000001,Grunwald Communications,244436.24,Mlt Strategic Fundraising,182750.0,Mission Control,133735.47,Capitol Compliance Associates,110383.29,JBW Consulting,80500.0,Lori McGrogan,73172.65,Mary Tabaie,69614.60999999999,Anne Lewis Strategies,69436.69,Media & Ads,2406917.24,Salary & Payroll,412167.54,Fundraising & Fundraising Consulting,267883.69,Campaign Consulting,173063.0,Printing,134155.56,Compliance Services,110383.29,Polling & Research,103608.21,Payroll Tax,95072.3,Meals & Catering,88618.87000000001,Travel & Lodging,82184.49
