STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,DELMARVA DIGITAL,999.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,MORNINGSTAR PUBLICATIONS,924.5
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,DELMARVA ADULT & TEEN CHALLENGE,500.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,TOWERS SIGNS,129.65
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,BLADES VOLUNTEER FIRE COMPANY,120.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,MARINE CORPS LEAGUE,100.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,BRYANT L. RICHARDSON,STATE SENATE,21,0,0.0
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,MAJORITY STRATEGIES,74192.48
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,CLEAR CHANNEL OUTDOOR,10930.0
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,INSTANT IMPRINTS,7381.16
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,CHERYL MCDONOUGH,6000.0
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,PRINT N PRESS,3588.0
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),3155.3999999999996
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,RING LIMITED,2817.37
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,UNITEMIZED EXPENSE/UNKNOWN,2564.5299999999997
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,COLUMBUS INN,2500.0
DELAWARE,MICHAEL J. RAMONE,STATE HOUSE,21,CHECKMATE STRATEGIES,2261.83
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JOHN L. MITCHELL,STATE HOUSE,13,0,0.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,ALPACA,5695.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),4883.1
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,KENT COUNTY REPUBLICAN COMMITTEE (DELAWARE),3795.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,MAIL CHIMP,1570.8500000000001
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,GATEHOUSE MEDIA DELAWARE HOLDINGS,1342.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,BLUEGOLDPAC,800.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,ALWAYS ADVERTISEMENT,790.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,HOUSE OF REPRESENTATIVE MEMBERSHIP FUND,740.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,MIKE SMITH FOR DELAWARE,600.0
DELAWARE,JEFFREY N. SPIEGELMAN,STATE HOUSE,11,FRIENDS OF KEVIN HENSLEY,600.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,NCC DEMOCRATIC COMMITTEE (DELAWARE),945.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,VERNS CATERING,700.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,APRI DELAWARE CHAPTER,450.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,C&A CONSULTING,400.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),322.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,UNITEMIZED EXPENSE/UNKNOWN,224.8
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,SHOW WORKS AUDIO VISUAL,203.98
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,HENRIETTA JOHNSON MEDICAL CENTER,200.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,KRISTA GRIFFITH FOR DELAWARE,200.0
DELAWARE,FRANKLIN D. COOKE,STATE HOUSE,16,FIRST STATE CAA INC (DELAWARE),125.0
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,ALPACA SIGNS & DESIGNS,14912.46
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,TJ HEALY AND ASSOCIATES,10455.0
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,AMERICAN SOLUTIONS FOR BUSINESS,3083.91
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,PRINT N PRESS,2644.74
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,ASSOCIATES INTERNATIONAL,1521.06
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,MULLIGANS,1500.0
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,ROBERT CROCKER,1500.0
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,MELISSA DATA,1362.48
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,HR MEMBERSHIP FUND,740.0
DELAWARE,KEVIN S. HENSLEY,STATE HOUSE,9,SAINT PATRICKS CENTER,600.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,ARROW PRINT & MAIL SERVICES,7221.32
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,KIRK LAWSON,2500.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,FOREVER MEDIA DE,1001.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,DELMARVA ADULT & TEEN CHALLENGE,1000.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,RESORT BROADCASTING,984.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,MORNING STAR PUBLICATIONS,960.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,SUSSEX COUNTY REPUBLICAN COMMITTEE (DELAWARE),945.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,FAT DADDY'S BBQ & GRILLE,797.97
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,FRIENDS OF CRAIG PUGH,600.0
DELAWARE,BRIAN PETTYJOHN,STATE SENATE,19,PRIME HOOK SPORTFISHING,500.0
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,CLEAR CHANNEL OUTDOOR,18543.5
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,JEFF ULMER PRODUCTIONS,12007.71
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,PRINT N PRESS,9686.8
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,DIAMOND STATE MANAGEMENT COMMERCIAL (DELAWARE),6443.57
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),5583.25
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,FOUNDATION BLUE MEDIA,5000.0
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,SIGNROCKET,2048.37
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,CHECKMATE STRATEGIES,1550.0
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,NEW CASTLE COUNTY DEMOCRATIC PARTY (DELAWARE),940.0
DELAWARE,GERALD L. BRADY,STATE HOUSE,4,STAPLES,804.86
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,PETEL & CO,23751.4
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,ERIC MORRISON,9294.23
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,PRINT N PRESS,6780.07
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,FACEBOOK,3542.1600000000003
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,STAPLES,2960.2799999999997
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,QUALITY LOGO PRODUCTS,2535.3599999999997
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,TONY PRATOLA,1841.5
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1525.8
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,TOSKR,1523.8400000000001
DELAWARE,ERIC A. MORRISON,STATE HOUSE,27,DELAWARE DEPARTMENT OF ELECTIONS,945.0
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,C&A CONSULTING,2770.0
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,UNITEMIZED EXPENSE/UNKNOWN,2617.2599999999998
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,URBAN CHIRP,2408.66
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,METROCOLOR,1750.0
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,NEW CASTLE COUNTY DEMOCRATIC COMMITTEE (DELAWARE),945.0
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,ROMA ITALIAN RESTAURANT,852.0
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,NEW CASTLE WEEKLY,696.6
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,CBI CONTRACTING,600.0
DELAWARE,MELISSA MINOR-BROWN,STATE HOUSE,17,DEMOCRATIC STATE COMMITTEE (DELAWARE),550.0
