STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
AL,RICHARD C. SHELBY,U.S. SENATE,SR,SMART MEDIA GROUP,4016779.67
AL,RICHARD C. SHELBY,U.S. SENATE,SR,RED STATE STRATEGIES,597999.18
AL,RICHARD C. SHELBY,U.S. SENATE,SR,STRATEGIC PERCEPTION,568939.7400000001
AL,RICHARD C. SHELBY,U.S. SENATE,SR,CAVALRY,477605.0
AL,RICHARD C. SHELBY,U.S. SENATE,SR,FLS CONNECT,466232.4
AL,RICHARD C. SHELBY,U.S. SENATE,SR,GO BIG MEDIA,459945.10000000003
AL,RICHARD C. SHELBY,U.S. SENATE,SR,ALABAMA PRESS ASSOCIATION,223032.53
AL,RICHARD C. SHELBY,U.S. SENATE,SR,ROSS SAHR SWATEK AZBELL HOWE,167150.0
AL,RICHARD C. SHELBY,U.S. SENATE,SR,INTERNAL REVENUE SERVICE (IRS) (PAYROLL TAX),107964.0
AL,RICHARD C. SHELBY,U.S. SENATE,SR,GULA GRAHAM GROUP,74923.85
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,AX MEDIA,4069177.15
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,THE PROSPER GROUP,492969.82
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,FP1 STRATEGIES,330492.08999999997
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,GARNER CONSULTING SERVICES,253521.81
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,AXIOM STRATEGIES,204210.05000000002
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,THE CHURCHILL GROUP,193766.78999999998
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,MOORE INFORMATION GROUP,160300.0
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,ANEDOT,124445.23999999999
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,BMO CONSULTING,113286.46
AL,TOMMY TUBERVILLE,U.S. SENATE,JR,PASH COMMUNICATIONS,103022.48999999999
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,PS STRATEGIES,1660359.9400000002
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,TARGETED VICTORY,534280.9899999999
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,SERVICE BUSINESS PRINTING,280248.91
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,AMERICA BANK OF,220968.86
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),215336.84999999998
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,MOORE INFORMATION GROUP,210500.0
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,NORTHRIM CARDMEMBER SERVICE,206112.47999999995
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,BRILLIANT MEDIA STRATEGIES,189644.87
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,BLACK ROCK GROUP,176253.03999999998
AK,LISA A. MURKOWSKI,U.S. SENATE,SR,PEARSON & ASSOCIATES,136130.41999999998
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,TARGETED VICTORY,35772315.21
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,WIN RED,6075267.550000001
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,INSPERITY,5664336.0
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,IMAGE DIRECT,5194402.35
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,STELLA MANAGEMENT,4643971.01
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,SOUTHWEST PUBLISHING & MAILING,3993404.81
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,TATANGO,3841674.0
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,FLS CONNECT,2770872.9400000004
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,AMERICAN EXPRESS (AMEX),2589729.21
AK,DANIEL S. SULLIVAN,U.S. SENATE,JR,ADCO PRINTING AND GRAPHICS,2168487.76
AZ,MARK KELLY,U.S. SENATE,JR,LEFT HOOK,69533648.8
AZ,MARK KELLY,U.S. SENATE,JR,AISLE 518 STRATEGIES,9415492.06
AZ,MARK KELLY,U.S. SENATE,JR,RUN THE WORLD,3072542.57
AZ,MARK KELLY,U.S. SENATE,JR,ACTBLUE,2592527.96
AZ,MARK KELLY,U.S. SENATE,JR,INTUIT,1997629.71
AZ,MARK KELLY,U.S. SENATE,JR,AMPLIFYAI,702983.44
AZ,MARK KELLY,U.S. SENATE,JR,WINNING CONNECTIONS,461581.25
AZ,MARK KELLY,U.S. SENATE,JR,GREENBERG QUINLAN ROSNER RESEARCH,385034.27999999997
AZ,MARK KELLY,U.S. SENATE,JR,THE MONEY WHEEL,247606.61
AZ,MARK KELLY,U.S. SENATE,JR,AMERICAN EXPRESS (AMEX),233719.07
AZ,KYRSTEN SINEMA,U.S. SENATE,SR,SCREEN STRATEGIES MEDIA,13581175.0
